picea_orientalis,50,12.5,25,1,7,1472,1
picea_pungens,50,11.11111,22.22222,1,8,1471,1
pinus_bungeana,0,0,40,0,10,1467,4
pinus_cembra,0,0,9.090909,0,11,1469,1
pinus_densiflora,8.333334,12.5,150,1,7,1462,11
pinus_echinata,0,0,0,0,8,1473,0
pinus_flexilis,0,0,55.55556,0,9,1467,5
pinus_koraiensis,17.64706,33.33334,188.8889,3,6,1458,14
pinus_nigra,100,37.5,37.5,3,5,1473,0
pinus_parviflora,22.85714,80,350,8,2,1444,27
pinus_peucea,30,42.85714,142.8571,3,4,1467,7
pinus_pungens,25,14.28572,57.14286,1,6,1471,3
pinus_resinosa,33.33334,10,30,1,9,1469,2
pinus_rigida,0,0,75,0,8,1467,6
pinus_strobus,0,0,0,0,4,1477,0
pinus_sylvestris,0,0,50,0,6,1472,3
pinus_taeda,0,0,37.5,0,8,1470,3
pinus_thunbergii,0,0,0,0,2,1479,0
pinus_virginiana,0,0,0,0,9,1472,0
pinus_wallichiana,20,37.5,187.5,3,5,1461,12
platanus_acerifolia,0,0,0,0,4,1477,0
platanus_occidentalis,100,25,25,1,3,1477,0
populus_deltoides,75,66.66667,88.88889,6,3,1470,2
populus_grandidentata,50,12.5,25,1,7,1472,1
populus_tremuloides,28.57143,75,262.5,6,2,1458,15
prunus_pensylvanica,0,0,16.66667,0,6,1474,1
prunus_sargentii,6.329114,30.30303,478.7879,10,23,1300,148
prunus_serotina,0,0,0,0,4,1477,0
prunus_serrulata,0,0,0,0,3,1478,0
prunus_subhirtella,0,0,11.11111,0,9,1471,1
prunus_virginiana,2.857143,2.777778,97.22222,1,35,1411,34
prunus_yedoensis,100,33.33334,33.33334,1,2,1478,0
pseudolarix_amabilis,50,14.28572,28.57143,1,6,1473,1
ptelea_trifoliata,13.33333,40,300,4,6,1445,26
pyrus_calleryana,20,20,100,2,8,1463,8
quercus_acutissima,40,66.66667,166.6667,6,3,1463,9
quercus_alba,0,0,0,0,3,1478,0
quercus_bicolor,100,25,25,1,3,1477,0
quercus_cerris,0,0,0,0,3,1478,0
quercus_coccinea,0,0,0,0,4,1477,0
quercus_falcata,0,0,10,0,10,1470,1
quercus_imbricaria,0,0,0,0,5,1476,0
quercus_macrocarpa,33.33334,37.5,112.5,3,5,1467,6
quercus_marilandica,75,54.54546,72.72727,6,5,1468,2
quercus_michauxii,0,0,11.11111,0,9,1471,1
quercus_montana,70,63.63636,90.9091,7,4,1467,3
quercus_muehlenbergii,8.163265,19.04762,233.3333,4,17,1415,45
quercus_nigra,0,0,0,0,8,1473,0
quercus_palustris,0,0,33.33334,0,3,1477,1
quercus_phellos,0,0,0,0,3,1478,0
quercus_robur,0,0,0,0,5,1476,0
quercus_rubra,0,0,16.66667,0,6,1474,1
quercus_shumardii,0,0,0,0,7,1474,0
quercus_stellata,20,10,50,1,9,1467,4
quercus_velutina,0,0,20,0,10,1469,2
quercus_virginiana,0,0,0,0,9,1472,0
robinia_pseudo-acacia,0,0,25,0,4,1476,1
salix_babylonica,100,10,10,1,9,1471,0
salix_caroliniana,0,0,0,0,7,1474,0
salix_matsudana,0,0,20,0,10,1469,2
salix_nigra,40,13.33333,33.33334,2,13,1463,3
sassafras_albidum,0,0,0,0,4,1477,0
staphylea_trifolia,20,22.22222,111.1111,2,7,1464,8
stewartia_pseudocamellia,0,0,0,0,9,1472,0
styrax_japonica,0,0,4.761905,0,21,1459,1
styrax_obassia,0,0,57.14286,0,7,1470,4
syringa_reticulata,33.33334,14.28572,42.85714,1,6,1472,2
taxodium_distichum,100,16.66667,16.66667,2,10,1469,0
tilia_americana,0,0,0,0,3,1478,0
tilia_cordata,16.66667,33.33334,200,5,10,1441,25
tilia_europaea,0,0,0,0,3,1478,0
tilia_tomentosa,0,0,0,0,5,1476,0
toona_sinensis,0,0,125,0,4,1472,5
tsuga_canadensis,0,0,7.692308,0,13,1467,1
ulmus_americana,0,0,0,0,3,1478,0
ulmus_glabra,0,0,0,0,11,1470,0
ulmus_parvifolia,0,0,11.11111,0,9,1471,1
ulmus_pumila,93.54839,100,106.8966,29,0,1450,2
ulmus_rubra,100,11.11111,11.11111,1,8,1472,0
zelkova_serrata,100,16.66667,16.66667,2,10,1469,0
